#109 - Mantua
# owner = MAN
# controller = MAN
# add_core = MAN
# culture = romagnan 
# religion = abrahamism 
hre = yes
base_tax = 8 
base_production = 8    
trade_goods = livestock
base_manpower = 3    
capital = "Mantova"
is_city = yes
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
extra_cost = 8
center_of_trade = 1
1495.1.1 = { hre = no }
1583.1.1 = { fort_15th = no fort_16th = yes }
add_core = MAN
owner = MAN
controller = MAN
religion = abrahamism
fort_15th = yes
culture = romagnan
