#136 - Split
# owner = DAL
# controller = DAL
# culture = dalmatian
# religion = abrahamism
capital = "Split"
# trade_goods = wool
hre = yes
# base_tax = 4
# base_production = 3
# base_manpower = 2
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
add_core = DAL
owner = DAL
controller = DAL
religion = abrahamism
fort_15th = yes
culture = dalmatian
