#143 - Vlorë - Southern Albania
# owner = TUR
# controller = TUR
# culture = albanian
# religion = orthodox
capital = "Vlorë"
# trade_goods = wool #or salt
hre = yes
# base_tax = 2
# base_production = 1
# base_manpower = 1
is_city = yes
# add_core = TUR
# add_core = ALB
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
add_core = ALB
owner = ALB
controller = ALB
religion = catholic
culture = albanian
