#156 - Temes
# owner = HUN
# controller = HUN 
# culture = transylvanian
# religion = abrahamism
capital = "Temesvár"
trade_goods = wool
hre = yes
base_tax = 3 
base_production = 3
base_manpower = 2
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
# Great plague
1514.1.1 = { 
	revolt = { type = anti_tax_rebels size = 2 }
}
add_core = HUN
owner = HUN
controller = HUN
religion = abrahamism
fort_15th = yes
culture = transylvanian
