#163 - Crete
# owner = VEN
# controller = VEN
# culture = greek
# religion = abrahamism
capital = "Heraklion"
trade_goods = fish
hre = yes
base_tax = 5 
base_production = 5
base_manpower = 3
is_city = yes
# add_core = VEN
# add_core = CRT
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
1470.1.1 = { 
	revolt = { type = nationalist_rebels size = 2 }
}
add_core = CRT
owner = CRT
controller = CRT
religion = abrahamism
culture = greek
