#1828 - Donji Kraji
# owner = BOS # Part of the Bosnian kingdom
# controller = BOS
# culture = bosnian
# religion = abrahamism
capital = "Jajce"
# trade_goods = livestock
hre = yes
# base_tax = 2 
# base_production = 2
# base_manpower = 1
is_city = yes
# add_core = BOS
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
add_core = BOS
owner = BOS
controller = BOS
religion = abrahamism
culture = bosnian
