#1849 - Hama
# owner = MAM
# controller = MAM
# culture = al_suryah_arabic
# religion = abrahamism
capital = "Hama"
trade_goods = cotton
hre = yes
base_tax = 4
base_production = 4
base_manpower = 2
is_city = yes
# add_core = SYR
# add_core = FAD
# add_core = MAM
discovered_by = east_african
discovered_by = muslim
discovered_by = ottoman
discovered_by = western
discovered_by = eastern
discovered_by = nomad_group
discovered_by = indian
add_core = SYR
owner = SYR
controller = SYR
religion = abrahamism
culture = al_suryah_arabic
