#1853 - Kastoria
# owner = TUR
# controller = TUR
# culture = greek
# religion = abrahamism
capital = "Kastoria"
trade_goods = wine
hre = yes
base_tax = 3
base_production = 2
base_manpower = 2
is_city = yes
# add_core = BYZ
# add_core = TUR
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
1402.1.1 = { 
	revolt = { type = nationalist_rebels size = 1 }
}
add_core = BYZ
owner = BYZ
controller = BYZ
religion = abrahamism
culture = greek
