#1874 - Bremen
# owner = BRE
# controller = BRE
# culture = lower_saxon
# religion = abrahamism
capital = "Bremen"
# trade_goods = fish
is_city = yes
# add_core = BRE
add_local_autonomy = 50
discovered_by = eastern
discovered_by = western
discovered_by = muslim
discovered_by = ottoman
extra_cost = 18
center_of_trade = 1
add_permanent_province_modifier = { 
	name = weser_estuary_modifier
	duration = -1
}
religion = abrahamism
add_core = BRE
owner = BRE
controller = BRE
fort_15th = yes
culture = lower_saxon
