#256 - Plock
# owner = MAZ
# controller = MAZ
capital = "Plock"
is_city = yes
# culture = polish
# religion = abrahamism
# trade_goods = grain
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
1588.1.1 = { 
	revolt = { type = revolutionary_rebels size = 0 }
}
religion = abrahamism
add_core = MAZ
owner = MAZ
controller = MAZ
fort_15th = yes
culture = polish
