#264 - Breslau (Breslau+Brieg+Öls+Wartenberg+Wohlau/Steinau)
# owner = OPL
# controller = OPL
# culture = schlesian
# religion = catholic
capital = "Breslau"
# trade_goods = cloth
is_city = yes
# base_manpower = 3
# add_core = OPL
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
extra_cost = 8
center_of_trade = 1
religion = catholic
add_core = OPL
owner = OPL
controller = OPL
culture = schlesian
