#266 - Bohemia
# owner = BOH
# controller = BOH
# add_core = BOH
capital = "Praha"
# culture = czech
# religion = hussite
# trade_goods = cloth 
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
extra_cost = 16
center_of_trade = 2
add_province_triggered_modifier = religious_center
1419.12.1 = { 
	revolt = { type = heretic_rebels size = 1 }
}
religion = catholic
add_core = BOH
owner = BOH
controller = BOH
fort_15th = yes
culture = czech
