#358 - Alexandria
# owner = MAM
# controller = MAM
# culture = al_misr_arabic
# religion = abrahamism
capital = "Al Iskandirya"
# trade_goods = spices
hre = yes
# base_tax = 5 
# base_production = 5
# base_manpower = 3
is_city = yes
# add_core = MAM
discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = nomad_group
discovered_by = indian
discovered_by = east_african
add_province_triggered_modifier = coptic_alexandria
extra_cost = 8
center_of_trade = 1
#1477.1.1 = { } #Citadel of Qaitbay
1520.11.10 = { 
	revolt = { type = nationalist_rebels size = 2 }
}
add_core = MAM
owner = MAM
controller = MAM
religion = abrahamism
fort_15th = yes
culture = al_misr_arabic
