#380 - Al Karak
# owner = MAM
# controller = MAM
# culture = bedouin_arabic
# religion = abrahamism
capital = "Al Karak"
# trade_goods = grain
hre = yes
# base_tax = 1 
# base_production = 1
# base_manpower = 1
is_city = yes
# add_core = MAM
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
discovered_by = nomad_group
discovered_by = indian
discovered_by = east_african
culture = bedouin_arabic
religion = abrahamism
add_core = ANZ
fort_15th = yes
owner = ANZ
controller = ANZ
