#4239 - Belgrade
# owner = SER
# controller = SER
# culture = serbian
# religion = orthodox
capital = "Belgrade"
# trade_goods = cloth
hre = yes
# base_tax = 4
# base_production = 4
# base_manpower = 2
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
extra_cost = 8
center_of_trade = 1
1428.1.1 = { 
	capital = "Nándorfehérvár"
}
1521.8.29 = { 
	capital = "Belgrade"
}
add_core = SER
owner = SER
controller = SER
religion = orthodox
fort_15th = yes
culture = serbian
