# 4750 - Krujë, Tirana, central Albania
# owner = ALB
# controller = ALB
# culture = albanian
# religion = abrahamism
capital = "Krujë"
# trade_goods = wool
hre = yes
# base_tax = 2
# base_production = 2
# base_manpower = 1
is_city = yes
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
add_core = ALB
owner = ALB
controller = ALB
religion = abrahamism
fort_15th = yes
culture = albanian
