# 4756 - Bjelovar
# owner = CRO
# controller = CRO
# culture = croatian
# religion = abrahamism
capital = "Bjelovar"
trade_goods = grain
hre = yes
base_tax = 2
base_production = 3
base_manpower = 1
is_city = yes
# add_core = CRO
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
add_core = CRO
owner = CRO
controller = CRO
religion = abrahamism
culture = croatian
