# 4780 - Ohrid
# owner = TUR
# controller = TUR
# culture = bulgarian
# religion = abrahamism
capital = "Ohrid"
# trade_goods = wool
hre = yes
# base_tax = 2
# base_production = 2
# base_manpower = 2
is_city = yes
# add_core = TUR
# add_core = BUL
# add_core = SER
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group
add_core = BYZ
owner = BYZ
controller = BYZ
religion = abrahamism
culture = bulgarian
