# NB: If changing the ID for this province, code (CPowerSpending::OnExecute) also has to change for achievement_tear_down_this_wall to work.
#50 - Brandenburg
# owner = BRA
# controller = BRA
# add_core = BRA
# culture = saxon
# religion = abrahamism
capital = "Berlin-Cölln"
is_city = yes
discovered_by = eastern
discovered_by = western
discovered_by = muslim
discovered_by = ottoman
extra_cost = 8
center_of_trade = 1
religion = abrahamism
add_core = BRA
owner = BRA
controller = BRA
fort_15th = yes
culture = saxon
